Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW225784,04/09/2013 11:30:00 AM,0000X W 35TH ST,ASSAULT,SIMPLE,OTHER,false,false,0211,002,3,35,08A,1176725,1881799,2013,02/10/2018 03:50:01 PM,41.831003238,-87.627084778,POINT (-87.627084778 41.831003238)
HW225735,04/09/2013 08:00:00 AM,032XX S MICHIGAN AVE,THEFT,OVER $500,STREET,false,false,0211,002,3,35,06,1177727,1883504,2013,02/10/2018 03:50:01 PM,41.835659225,-87.623356707,POINT (-87.623356707 41.835659225)
HW225175,04/08/2013 09:30:00 PM,031XX S MICHIGAN AVE,BATTERY,SIMPLE,STREET,true,false,0211,002,3,35,08B,1177699,1884310,2013,02/10/2018 03:50:01 PM,41.837871585,-87.623435005,POINT (-87.623435005 41.837871585)
HW225519,04/08/2013 09:00:00 AM,0000X W 35TH ST,BATTERY,SIMPLE,"SCHOOL, PRIVATE, BUILDING",false,false,0211,002,3,35,08B,1176725,1881799,2013,02/10/2018 03:50:01 PM,41.831003238,-87.627084778,POINT (-87.627084778 41.831003238)
HW225396,04/07/2013 11:00:00 PM,033XX S MICHIGAN AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0211,002,3,35,14,1177742,1882956,2013,02/10/2018 03:50:01 PM,41.834155131,-87.623318288,POINT (-87.623318288 41.834155131)
HW228493,04/06/2013 10:00:00 AM,030XX S MICHIGAN AVE,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,false,false,0133,001,2,35,11,1177749,1884891,2013,02/10/2018 03:50:01 PM,41.839464759,-87.623233908,POINT (-87.623233908 41.839464759)
HW221536,04/06/2013 04:00:00 AM,029XX S DEARBORN ST,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,0133,001,3,35,26,1176459,1884987,2013,02/10/2018 03:50:01 PM,41.839757358,-87.627964689,POINT (-87.627964689 41.839757358)
HW220924,04/05/2013 05:00:00 PM,035XX S STATE ST,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,0213,002,3,35,08A,1176847,1881672,2013,02/10/2018 03:50:01 PM,41.830651986,-87.62664099,POINT (-87.62664099 41.830651986)
HW220639,04/05/2013 02:30:00 PM,029XX S FEDERAL ST,THEFT,$500 AND UNDER,STREET,false,false,0133,001,3,35,06,1176166,1885210,2013,02/10/2018 03:50:01 PM,41.840375885,-87.629033152,POINT (-87.629033152 41.840375885)
HW219665,04/04/2013 08:00:00 PM,001XX E 35TH ST,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,0211,002,3,35,08B,1177915,1881826,2013,02/10/2018 03:50:01 PM,41.831050399,-87.622717815,POINT (-87.622717815 41.831050399)
HW221045,04/04/2013 09:50:00 AM,035XX S STATE ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,false,false,0213,002,3,35,11,1176847,1881660,2013,02/10/2018 03:50:01 PM,41.830619057,-87.626641352,POINT (-87.626641352 41.830619057)
HW218835,04/03/2013 05:00:00 PM,031XX S MICHIGAN AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,GAS STATION,false,false,0211,002,3,35,11,1177699,1884310,2013,02/10/2018 03:50:01 PM,41.837871585,-87.623435005,POINT (-87.623435005 41.837871585)
HW216673,04/02/2013 04:59:00 PM,032XX S MICHIGAN AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0211,002,3,35,06,1177727,1883504,2013,02/10/2018 03:50:01 PM,41.835659225,-87.623356707,POINT (-87.623356707 41.835659225)
HW215272,04/01/2013 06:23:00 AM,035XX S STATE ST,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,false,false,0213,002,3,35,11,1176847,1881660,2013,02/10/2018 03:50:01 PM,41.830619057,-87.626641352,POINT (-87.626641352 41.830619057)
HW213614,03/31/2013 10:30:00 AM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW214742,03/31/2013 10:00:00 AM,001XX W 35TH ST,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA TRAIN,false,false,0915,009,11,34,04B,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW215389,03/29/2013 05:30:00 PM,031XX S MICHIGAN AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,GAS STATION,false,false,0211,002,3,35,11,1177700,1884303,2013,02/10/2018 03:50:01 PM,41.837852354,-87.623431548,POINT (-87.623431548 41.837852354)
